times collected,species
2,Ditrichum pusillum (Hedw.) Hampe
2,Drepanocladus trifarius (F. Weber & D. Mohr) Broth.
2,Entosthodon americanus (Lindb.) Fife
2,Geheebia fallax (Hedw.) R.H. Zander
2,Geheebia lurida (Hornsch. ex Spreng.) J.A. Jiménez & M.J. Cano
2,Gemmabryum coronatum (Schwägr.) J.R. Spence & H.P. Ramsay
2,Gertrudiella nevadensis (R.H. Zander) J.A. Jiménez & M.J. Cano
2,Grimmia bicolor Herzog
2,Grimmia decipiens (Schultz) Lindb.
2,Grimmia hartmanii Schimp.
2,Grimmia muehlenbeckii Schimp.
2,Grimmia orbicularis Bruch ex Wilson
2,Grimmia tergestina Tomm. ex Bruch & Schimp.
2,Heterocladium macounii Best
2,Homalothecium fulgescens (Mitt. ex Müll. Hal.) A. Jaeger
2,Homalothecium nuttallii (Wilson) A. Jaeger
2,Husnotiella revoluta Cardot
2,Hydrogonium arcuatum (Griff.) Wijk & Margad.
2,Hymenostylium recurvirostrum var. Recurvirostrum
2,Hyophiladelphus agrarius (Hedw.) R.H. Zander
2,Hypnum fujiyamae (Broth.) Paris
2,Isopterygiopsis muelleriana (Schimp.) Z. Iwats.
2,Kindbergia praelonga (Hedw.) Ochyra
2,Leucolepis acanthoneuros (Schwägr.) Lindb.
2,Orthotrichum laevigatum F. Laevigatum
2,Palustriella decipiens (De Not.) Ochyra
2,Philonotis seriata Mitt.
2,Plagiobryoides vinosula (Cardot) J.R. Spence
2,Plagiomnium venustum (Mitt.) T.J. Kop.
2,Plagiothecium denticulatum var. Obtusifolium (Turner) Moore
2,Plagiothecium undulatum (Hedw.) Schimp.
2,Plasteurhynchium striatulum (Spruce) M. Fleisch.
2,Polytrichum jensenii I. Hagen
2,Polytrichum ohioense Renauld & Cardot
2,Pottiopsis sweetii (E.B. Bartram) Ros & O. Werner
2,Pseudisothecium stoloniferum (Brid.) Grout
2,Pseudobryum cinclidioides (Huebener) T.J. Kop.
2,Pseudohygrohypnum fertile (Sendtn.) Jan Kučera & Ignatov
2,Ptychostomum archangelicum (Bruch & Schimp.) J.R. Spence
2,Ptychostomum funkii (Schwägr.) J.R. Spence
2,Pylaisia intricata (Hedw.) Schimp.
2,Racomitrium heterostichum (Hedw.) Brid.
2,Rhabdoweisia crispata (Dicks.) Lindb.
2,Rhizomnium gracile T.J. Kop.
2,Rhynchostegium serrulatum (Hedw.) Austin
2,Sarmentypnum tundrae (Arnell) Hedenäs
2,Schistidium canadense (Dupr.) Ignatova & H.H. Blom
2,Schistidium cinclidodonteum (Müll. Hal.) B. Bremer
2,Schistidium subincurvum (Austin) Ochyra
2,Sciuro-Hypnum hylotapetum (B.L. Higinb. & N.L. Higinb.) Ignatov & Huttunen
2,Sciuro-Hypnum populeum (Hedw.) Ignatov & Huttunen
2,Scleropodium touretii (Brid.) L.F. Koch
2,Sphagnum compactum Dc.
2,Splachnum sphaericum Hedw.
2,Syntrichia ruralis subsp. Hirsuta (Venturi) Düll
2,Tayloria splachnoides (Schleich. ex Schwägr.) Hook.
2,Tetraphis geniculata Girg. ex Milde
2,Tortella tortuosa var. Tortuosa
2,Tortula cuneifolia (Dicks.) Turner
2,Tortula guepinii (Bruch & Schimp.) Broth.
2,"Tortula mucronifera W. Frey, Kürschner & Ros"
2,Trichodon cylindricus (Hedw.) Schimp.
2,Trochophyllohypnum circinale (Hook.) Jan Kučera & Ignatov
2,Warnstorfia pseudostraminea (Müll. Hal.) Tuom. & T.J. Kop.
2,Zygodon rupestris Schimp. ex Lorentz
3,"Alleniella complanata (Hedw.) S. Olsson, Enroth & D. Quandt"
3,Andreaea blyttii Schimp.
3,Andreaea heinemannii Hampe & Müll. Hal.
3,Anomobryum concinnatum (Spruce) A. Jaeger
3,Aongstroemia schreberiana (Hedw.) Bonfim Santos & Fedosov
3,"Aquilonium plicatulum (Lindb.) Hedenäs, Schlesak & D. Quandt"
3,Bartramia laevisphaera (Taylor) Müll. Hal.
3,Bartramia pomiformis Hedw.
3,Brachytheciastrum leibergii (Grout) Ignatov & Huttunen
3,Bryum caespiticum
3,Bryum coloradense Kindb.
3,Buxbaumia aphylla Hedw.
3,Calliergonella cuspidata (Hedw.) Loeske
3,Calohypnum amabile (Mitt.) Jan Kučera & Ignatov
3,Ceratodon heterophyllus Kindb.
3,Crossidium aberrans Holz. & E.B. Bartram
3,"Dicranellopsis crispa (Hedw.) Bonfim Santos, Siebel & Fedosov"
3,Dicranum drummondii Müll. Hal.
3,Elodium paludosum (A. Jaeger) Austin ex C.F. Parker
3,Encalypta pilifera Funck
3,Entodon cladorrhizans (Hedw.) Müll. Hal.
3,Entosthodon muhlenbergii (Turner) Fife
3,Eucladium verticillatum (With.) Bruch & Schimp.
3,Funaria flavicans Michx.
3,Gemmabryum klinggraeffii (Schimp.) J.R. Spence & H.P. Ramsay
3,Grimmia apocarpa var. Apocarpa
3,Grimmia arizonae Renauld & Cardot
3,Grimmia elongata Kaulf.
3,Grimmia lisae De Not.
3,Hamatocaulis vernicosus (Mitt.) Hedenäs
3,Haplocladium microphyllum (Sw. ex Hedw.) Broth.
3,Hedwigia emodica Hampe ex Müll. Hal.
3,Hedwigia nivalis (Müll. Hal.) Mitt.
3,Hygrohypnum dilitatum (Wilson) Loeske
3,Hylocomiadelphus triquetrus (Hedw.) Ochyra & Stebel
3,Hypnum resupinatum Taylor
3,Leptodon smithii (Dicks. ex Hedw.) F. Weber & D. Mohr
3,Lescuraea incurvata var. Incurvata
3,Lescuraea radicosa var. Denudata (Kindb.) E. Lawton
3,Lescuraea saviana (De Not.) E. Lawton
3,Mnium stellare Hedw.
3,Myurella tenerrima (Brid.) Lindb.
3,Orthodicranum fulvum (Hook.) G. Roth
3,Philonotis capillaris Lindb.
3,Philonotis falcata (Hook.) Mitt.
3,Philonotis uncinata (Schwägr.) Brid.
3,Plagiomnium vesicatum (Besch.) T.J. Kop.
3,Pogonatum dentatum (Menzies ex Brid.) Brid.
3,Pohlia annotina (Hedw.) Lindb.
3,Polytrichum hyperboreum R. Br.
3,Rhacomitrium fasciculare
3,Rhytidiopsis robusta (Hook.) Broth.
3,Seligeria tristichoides Kindb.
3,Sphagnum obtusum Warnst.
3,Sphagnum recurvum P. Beauv.
3,Sphagnum rubellum Wilson
3,Syntrichia caninervis var. Caninervis
3,Tayloria hornschuchii (Grev. & Arn.) Broth.
3,Tortula amplexa (Lesq.) Steere
3,Tortula brevipes (Lesq.) Broth.
3,Tortula nevadensis (Cardot & Thér.) R.H. Zander
